Name,C1,C2,C3,C4,C5,C6,C7,C8,C9
R185,#fae1b1,#e1d1a9,#c3b89a,#a59c85,#8a806c,#766950,#675833,#594b20,#413b26
R186,#f29b00,#ed9002,#e68504,#df7906,#d76e09,#cf630b,#c6580c,#bd4c0d,#b3410e
R187,#f0ddca,#cfc8b8,#aec4b6,#88b7aa,#619c90,#417b70,#2d5c54,#284341,#30363e
R188,#917c57,#9e9379,#b7b7aa,#c9cccd,#c7bfcd,#b698b2,#9f6a8d,#8c436e,#872f62
R189,#aeb6cc,#98a1b3,#838ea0,#6e7b90,#5a6880,#47566e,#364459,#283346,#1f2338
R190,#b9afa1,#a59c90,#90867a,#7a6f62,#665a4d,#55483f,#473b3b,#3b3039,#2e1f2c
R191,#b7dbd3,#9ac4b6,#7faea3,#649894,#4b8285,#346b72,#20545c,#103e46,#052a30
R192,#3c4875,#61608a,#8782a1,#ada4b5,#cebabf,#e7b6b9,#ee9da6,#df7991,#b65b7f
R193,#443b58,#4f5269,#5c6a7e,#6b8494,#7ea0aa,#96bbc0,#b3d6d3,#d4efe2,#f7fff8
R194,#9b9fa0,#888a8a,#747676,#616262,#4e4f4f,#3c3d3d,#2b2c2c,#1b1b1b,#070707
R195,#90b59a,#90a98d,#829980,#6f8a72,#607a62,#556b51,#4b5d41,#3d5034,#28422d
R196,#634e57,#764d5e,#8c596f,#a16c84,#b38196,#bd919c,#c39c99,#cba89d,#debfb8
R197,#a483a1,#c3a4be,#e2cad3,#f4e9dc,#f0f6d9,#cce6c7,#98c3ac,#6d9e92,#628781
R198,#bac0a7,#b6ba9b,#b1b394,#acac8f,#a6a48b,#9f9d86,#989581,#918d7a,#8c8574
R199,#fcf5ff,#f5e3fd,#f2d5ff,#f0c7ff,#ecb9ff,#e4a7ff,#d690f7,#c578e8,#b665e4
R200,#4e0d27,#60002f,#800048,#a22d66,#b64c75,#ba6175,#b97272,#ba8779,#c9a59a
R201,#3a2ba2,#4841b0,#5c5ace,#7171ea,#8384f6,#9094f6,#9ca1f1,#a9b0ee,#bcc1f6
R202,#b688cc,#b391c4,#b19abc,#aea2b4,#ababab,#a8b3a3,#a6bc9b,#a3c493,#a0cd8a
R203,#fef5f0,#fee8e8,#ffe0eb,#ffdbf3,#ffd5fb,#fccdff,#fbc4fe,#fbb7f7,#fea8e7
R204,#72494c,#755555,#78625d,#7c6e66,#7f7b6f,#838878,#869681,#89a48a,#8db194
R205,#f8ecae,#f4de90,#f2d080,#efbf75,#e7ad6b,#db985d,#cc844f,#bd7247,#af6347
R206,#5981ad,#6386ab,#6e8eaf,#7b99b7,#88a4c2,#95b0cc,#a2bbd5,#afc6dc,#bdcfe1
R207,#88a4bf,#9ab0c7,#b1c2ce,#c9d5d3,#dbe3d6,#e4e7d3,#dfdccb,#d0c7bb,#c3b8a4
R208,#ffffff,#e3e3e3,#c7c7c7,#acacac,#929292,#797979,#616160,#494949,#333333
R209,#3b4629,#4b5734,#545d2d,#5f6427,#737233,#8c854b,#a59a65,#b9af77,#c2bf76
R210,#294c07,#3d5a07,#556e14,#6d832a,#809444,#90a260,#a1b17d,#b5c499,#d1dfb3
R211,#73377a,#834589,#8c5290,#925e94,#9a6896,#a6719a,#b67ba0,#c487a6,#cb93aa
R212,#f7feff,#eefdff,#e3fafd,#d7f5f8,#cbeff4,#bfeaf0,#b4e4eb,#a8dee5,#9bd6de
R213,#4c2963,#623671,#73487f,#84598e,#9a6a9e,#b17bad,#c78ab8,#d898be,#e0a5b9
R214,#7f3e83,#8e4a8b,#9e5693,#ae629a,#bd6fa2,#cc7cab,#d98ab3,#e397b8,#e9a2b9
R215,#792b64,#884172,#99507a,#aa5e7f,#ba6f86,#c78291,#d2959b,#daa7a5,#e1b7aa
R216,#f28e91,#f29a8f,#f1a68e,#f1b38e,#f0bf8e,#efcc8e,#efd98d,#eee58d,#edf28d
R217,#cdc5db,#c7b4e5,#bda1e9,#b38eee,#ac7bf7,#a668ff,#9950ff,#8030ea,#5600b4
R218,#c294ae,#ce9db7,#d5a6bf,#d9b0c6,#debace,#e8c3d8,#f3cce2,#f9d4e9,#f0dbe7
R219,#abfb33,#9beb21,#88de00,#7bd200,#75c500,#71b800,#6dac0a,#66a00a,#599500
R220,#ce8755,#cc975c,#d8ab75,#e8c196,#f5d5b4,#f6e1c6,#e5e3c2,#c9d7af,#b4be9a
R221,#f5cebc,#f6d4c3,#f9dacb,#fbdfd4,#fde4dc,#feeae3,#feefe9,#fef5f0,#fffaf8
R222,#fbfcff,#e9ebf8,#d3d5e3,#bdbecb,#a8a8b6,#9393a4,#7f8092,#6c6c7c,#595860
turbo,#30123b,#4662d7,#35aaf9,#1ae4b6,#72fe5e,#c8ef34,#faba39,#f66b19,#ca2a04
jet,#00007F ,#0000FF,#007FFF,#00FFFF,#7FFF7F,#FFFF00,#FF7F00,#FF0000,#7F0000
